sector,macro,tau,alpha,beta,t_beta,pseudo_r2
XLE,VIX,0.95,0.021515295458569623,-0.006046451308505418,-2.2989187585535165,0.08958470530238483
XLE,VIX,0.99,0.02776572409965202,-0.005344068629108285,-1.4864996269709791,0.2800934953283566
XLV,OIL,0.01,-0.029623149326583855,0.003445383678491445,0.6795939698342903,0.013027057702299172
XLV,OIL,0.05,-0.015487034752501502,-0.0008285221449344172,-0.4548869313752288,0.01047977384645371
XLV,OIL,0.1,-0.010650662451077604,-0.0007961387673799713,-0.8183564889064923,0.003786093476723873
XLV,OIL,0.25,-0.005875350050521059,-0.0016497214691381637,-2.3951248405951993,0.014709440825012687
XLV,OIL,0.5,0.00043986423989567135,-0.0025697044018792217,-4.336542018399807,0.03490038171549026
XLV,OIL,0.75,0.005981305792903096,-0.0027246556719812977,-5.1035553891356535,0.03715294079561693
XLV,OIL,0.9,0.012623552100528637,-0.001775003012813955,-2.3861884924951466,0.021856435460132162
XLV,OIL,0.95,0.018439857562438804,-0.0014609433627271043,-1.2057042929071506,0.00931141004172964
XLV,OIL,0.99,0.024157515556156264,0.0005322674674849649,0.1441037338390986,0.0030948686105671808
XLV,DXY,0.01,-0.027833228739002274,0.00010326670901270881,0.023140035813657627,0.00202897440525196
XLV,DXY,0.05,-0.015741955443722987,-0.00046032273126614506,-0.16963504408467664,0.0008587355589069201
XLV,DXY,0.1,-0.010949555599921236,-1.93584820429293e-05,-0.017987290260599614,2.6965603086015477e-05
XLV,DXY,0.25,-0.005620340477286077,-0.0008056360240242458,-1.0559908957659552,0.002940075088504246
XLV,DXY,0.5,7.083503809016535e-05,-0.0017365122211014123,-2.8384848004765204,0.01232457981100088
XLV,DXY,0.75,0.006594965733674029,-0.0015715348296556169,-2.237536502955559,0.01089881158746453
XLV,DXY,0.9,0.012651382430229641,-0.002133158374463867,-2.5533186999644184,0.014663443324834158
XLV,DXY,0.95,0.01829615264565169,-0.00017774526431859204,-0.11206365715583316,0.00015907087244648732
XLV,DXY,0.99,0.023824587113933447,0.00018010860274923386,0.09724698639558241,0.0037874669157546004
XLV,US2Y,0.01,-0.029656753943077464,0.007031222334132814,1.3775535385668822,0.05405850408665025
XLV,US2Y,0.05,-0.015192051565335894,0.0018971736228902446,1.6230285136770584,0.007797362321375845
XLV,US2Y,0.1,-0.010503107131840831,-0.0005961007801318118,-1.0437802137540628,0.0012478355440898037
XLV,US2Y,0.25,-0.005903625976090983,-0.00028885165281701986,-0.5073604951708702,0.0009557094697832946
XLV,US2Y,0.5,7.257357622271029e-05,-0.0005838629307047592,-0.9347734929389458,0.0036826224523460738
XLV,US2Y,0.75,0.006378032173983217,0.00030086987829212923,0.37899267048188934,0.0003685011106215885
XLV,US2Y,0.9,0.012749676070459875,0.0005743932665285328,0.42132678150942315,0.0019345733670181886
XLV,US2Y,0.95,0.01802076026070176,0.0014490192408690976,0.6629288929980749,0.012845073518655714
XLV,US2Y,0.99,0.029328564999056082,0.003863799474197165,1.0620176447514127,0.08934240554558093
XLV,US10Y,0.01,-0.028244744094909173,0.0005363458630161298,0.1705996752634177,0.0043017628345654035
XLV,US10Y,0.05,-0.015078507713877075,-0.0023778646537878055,-1.3229758930230804,0.024410156862260557
XLV,US10Y,0.1,-0.010790633798288228,-0.0013461127252905275,-1.4590378344502755,0.0096797975674906
