sector,macro,alpha,t_alpha,delta,t_delta,gamma,t_gamma,r2,r2_adj,n
XLB,DXY,0.0021431424890123053,3.3332137382918,-0.0024867096278463952,-4.177614957823026,-0.0016611946334283301,-5.518001776314213,0.08063715635149649,0.07635108248833322,432
XLB,US2Y,0.0002964322871174513,0.46926430948240894,0.0003285330036328625,0.5466479135353487,0.00018980027891175768,0.862107019677472,0.0021230268141552155,-0.0025290802869444295,432
XLB,US10Y,0.0010326054060734806,1.4865709832697855,-0.0014371958792534162,-2.4440266026249944,-0.0005480808983249119,-1.4746155358441035,0.018618420448283546,0.014043214949207905,432
XLB,VIX,0.0004919279760819584,1.0881400725020807,-0.00814983557842381,-18.25259521504954,-6.148996338049969e-06,-0.07233682833980219,0.43908205163279146,0.4364670495425014,432
XLRE,OIL,8.576279553872146e-05,0.1650923103893884,-0.0008155926666270252,-1.6218127011838512,0.00012485567087258784,0.6647253037367089,0.00903992022049771,0.004420059708705071,432
XLRE,DXY,0.0017106983119517306,3.2625716764287227,-0.0020345997735659563,-4.191378135773159,-0.001503849997550661,-6.125483213925464,0.09265967967279032,0.08842965486940002,432
XLRE,US2Y,5.757533297387431e-05,0.1114853424192328,-0.0008661465851608087,-1.7628257350382175,0.0001531085335825973,0.8506541518559897,0.010238145347518657,0.00562387096685435,432
XLRE,US10Y,0.000787388392963813,1.4189489632397685,-0.002521210409359496,-5.366925496966107,-0.0005783978281706584,-1.947992595856093,0.07056893925947005,0.06623592732128569,432
XLRE,VIX,0.00019542411485214768,0.45359734566815957,-0.004977620635420029,-11.697865895557413,1.4939916943585297e-05,0.18442189492267513,0.24401444208828005,0.24049003389288737,432
XLC,OIL,0.0004828917787346119,0.8272707039869751,-0.0009337929236119381,-1.6525243995734,-6.711001237532479e-05,-0.31797368102879286,0.006359800214180589,0.0017274449704237638,432
XLC,DXY,0.0017916851344528663,2.980727164563192,-0.0008724317431887871,-1.5677731089290383,-0.0013789400116103277,-4.899537751968788,0.053032143553217725,0.04861737499169416,432
XLC,US2Y,0.00012686485961303242,0.21837314200120259,-0.00013813562747251866,-0.24991956436539525,0.0002897429552824993,1.4310113565826297,0.0053039155067913235,0.0006666377236060894,432
XLC,US10Y,0.0007161387776269658,1.1100966622037112,-0.00028455117493312167,-0.5210299614554295,-0.0003008981875992154,-0.8716980205637027,0.002395657891213321,-0.0022551782025339584,432
XLC,VIX,0.0003737556448758989,0.9080072157883166,-0.007589913171736055,-18.669420600873412,4.2279337571227474e-05,0.546262841469743,0.45196543531355704,0.44941049561804913,432
